resume_id,file,category,error
43,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/AI ML/Resume (30).pdf,AI ML,No extractable text
146,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Blockchain /Oniel_Resume.pdf,Blockchain,No extractable text
441,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/DOT NET /resume (1).pdf,DOT NET,No extractable text
477,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/DOT NET /Seth-Resume.pdf,DOT NET,No extractable text
499,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Data Science/dsd29.pdf,Data Science,No extractable text
511,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Data Science/Data-Engineer-Resume-Sample.pdf,Data Science,No extractable text
602,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/DevOps /DevOps-Resume-Sample.pdf,DevOps,No extractable text
650,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/DevOps /azra-amena-resume.pdf,DevOps,No extractable text
687,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Full Stack Developer/1715669845_Nouman Hameed Resume (1).pdf,Full Stack Developer,No extractable text
697,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Full Stack Developer/1715669845_Nouman Hameed Resume.pdf,Full Stack Developer,No extractable text
710,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Full Stack Developer/resume (24).pdf,Full Stack Developer,No extractable text
1067,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/MERN Stack Developer/resume.713fd026623307bcbf84.pdf,MERN Stack Developer,No extractable text
1093,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/MERN Stack Developer/BharathResume.pdf,MERN Stack Developer,No extractable text
1110,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Mobile App Developer/resume (3).pdf,Mobile App Developer,No extractable text
1140,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/Network Engineer/Network-Engineer-Resume-Sample.pdf,Network Engineer,No extractable text
1270,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_17.pdf,SQL Developer,No extractable text
1271,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_28.pdf,SQL Developer,No extractable text
1272,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_14.pdf,SQL Developer,No extractable text
1273,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_15.pdf,SQL Developer,No extractable text
1274,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_29.pdf,SQL Developer,No extractable text
1275,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_11.pdf,SQL Developer,No extractable text
1276,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_39.pdf,SQL Developer,No extractable text
1277,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_38.pdf,SQL Developer,No extractable text
1278,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_10.pdf,SQL Developer,No extractable text
1279,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_12.pdf,SQL Developer,No extractable text
1280,/Users/prabinrimal/Desktop/New>>>>>/Collected Resume Datasets/pdfs/SQL Developer/Image_13.pdf,SQL Developer,No extractable text
